Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms),Other duration (ms)
2022-08-06,68,1578.7075124990452,3021.8465288877487,16.0,16,,,,,,,,0.47534136670697036,1.4219732284545898,0.26389962434768677,5271,,,,,,3704265,,,
2022-08-07,68,1589.9269172524976,3191.6739961504936,23.0,23,,,,,,,,0.3863531754195536,1.8570421934127808,0.26474684476852417,5443,,,,,,3924932,,,
2022-08-08,3,1390.3721168594577,142.50581169128418,,,,,,,,,,0.37536117209989955,0.4864172339439392,0.28274959325790405,343,,,,,,,,,
2022-08-09,7,1404.027968588235,153.25029468536377,,,,,,,,,,0.29358370480223367,0.6360421180725098,0.28274959325790405,412,,,,,,268589,,,
2022-08-10,2,1393.8238314362595,91.04537963867188,,,,,,,,,,0.3359384989499599,0.3898714482784271,0.28274959325790405,363,,,,,,67889,,,
2022-08-11,3,1411.616185864994,106.31385803222656,,,,,,,,,,0.3066098889629975,0.5132787823677063,0.28274962306022644,311,,,,,,93822,141996,,
2022-08-12,,1390.3721025782086,20.357973098754883,,,,,,,,,,0.2867319881916046,0.2867319881916046,0.2867319881916046,146,,,,,,,,,
2022-08-13,66,1566.5831110572035,2843.751386284828,14.0,14,,,,,,,,0.47644369754882687,1.398173213005066,0.2733246386051178,4859,,,,,,3465796,,,
2022-08-14,,1390.37220652266,30.50916862487793,,,,,,,,,,0.28274962306022644,0.28274962306022644,0.28274962306022644,128,,,,,,,,,
2022-08-15,1,1390.3721211664315,10.251405715942383,,,,,,,,,,,,,74,,,,,,,,,
2022-08-16,4,1405.538913024529,100.0933666229248,,,,,,,,,,0.3101416068533047,0.44731414318084717,0.28274959325790405,197,,,,,,298307,,,
2022-08-17,86,1570.9202552877866,3865.663137435913,25.0,25,,,,,,,,0.5211338565611796,1.5846580266952515,0.28274959325790405,6616,,,,,,3551101,,,
2022-08-18,2,1390.3721220903544,66.16341209411621,,,,,,,,,,0.38467731812593065,0.5058955550193787,0.285940557718277,245,,,,,,,,,
2022-08-19,3,1396.276882139919,105.74835968017578,,,,,,,,,,0.3852759908145888,0.5163090825080872,0.28274959325790405,250,,,,,,116136,,,
2022-08-20,59,1547.7390281588525,2922.518021583557,22.0,22,,,,,,,,0.38974706672042303,1.5899235010147095,0.2544746398925781,4877,,,,,,3095164,,,
2022-08-21,,1394.4123036794417,49.76393222808838,,,,,,,,,,0.2734475794458617,0.39358243346214294,0.26389962434768677,128,,,,,,79465,,,
2022-08-22,4,1403.2214581434414,119.32034301757812,,,,,,,,,,0.6924558198208722,0.7912212014198303,0.28274962306022644,286,,,,,,252727,,,
2022-08-23,2,1400.2225850942855,73.73734974861145,,,,,,,,,,0.2827496229097997,0.28274962306022644,0.28274959325790405,220,,,,,,193743,,,
2022-08-24,,1390.3721614101505,,,,,,,,,,,,,,75,,,,,,,,,
2022-08-25,38,1465.6603581753905,1596.0132818222046,9.0,9,,,,,,,,0.4286550031542597,1.3717697858810425,0.26389962434768677,2710,,,,,,1480804,,,
